1,7681,2
2,7690,3
3,7686,4
4,7695,5
5,7684,6
6,7691,7
7,7688,8
8,7692,9
9,7693,10
10,7694,11
11,7687,12
12,7683,13
13,7682,14
14,7685,16
15,7689,19
16,7680,20
17,7731,17
18,7732,18
19,7750,15
20,7751,1
21,7688-11434,22
22,7688-11439,23
23,7688-11435,24
24,7688-11437,25
25,7688-11441,26
26,7688-11443,27
27,7688-11431,28
28,7688-11442,29
29,7688-11445,30
30,7688-11440,31
31,7688-11430,32
32,7688-11433,33
33,7688-11444,35
34,7688-11436,37
35,7686-11439,40
36,7686-11440,41
37,7686-11443,42
38,7686-11434,43
40,7686-11433,47
41,7686-11432,48
42,7686-11438,49
43,7686-11431,50
44,7684-11435,60
45,7684-11432,61
46,7684-11438,62
47,7693-11440,79
48,7693-11443,80
49,7693-11434,81
50,7693-11444,82
51,7693-11442,83
52,7683-11438,84
53,7683-11436,85
54,7684-11436,54
55,7684-11439,55
56,7684-11440,56
57,7684-11443,57
58,7684-11434,58
59,7683-11434,87
60,7683-11433,88
61,7683-11440,89
62,7683-11432,90
63,7690-11436,91
64,7690-11438,92
65,7690-11432,94
66,7690-11442,95
67,7682-11435,98
68,7682-11440,99
69,7682-11434,100
70,7686-11442,52
71,7682-11432,102
72,7687-11438,104
73,7692-11442,105
74,7694-11430,107
75,7692-11779,106
76,7682-11760,103
77,7684-11778,53
78,7682-11758,101
79,7732-11438,96
80,7732-11431,97
81,7690-11779,93
82,7684-11760,59
83,7683-11778,86
84,7750-11439,63
85,7750-11437,64
86,7750-11440,65
87,7750-11443,66
88,7750-11434,67
89,7750-11435,69
90,7750-11433,70
91,7750-11432,71
92,7750-11438,72
93,7750-11431,73
94,7750-11445,74
95,7750-11430,75
96,7750-11441,76
97,7750-11442,77
98,7693-11778,78
99,7686-11758,51
100,7686-11760,44
101,7688-11779,38
102,7686-11778,39
103,7688-11758,36
104,7688-11778,21
105,7688-11760,34
106,7750-11760,68
107,7681-7682-11430,111
108,7684-7688-11435,121
109,7687-7688-11435,122
110,7683-7688-11435,123
111,7682-7688-11435,125
112,7686-7688-11438,126
113,7686-7693-11440,127
114,7686-7688-11440,130
115,7686-7695-11440,131
116,7686-7692-11440,132
117,7684-7690-11438,141
118,7684-7688-11440,142
119,7686-7689-11438,143
120,7686-7707-11438,144
121,7686-7688-11439,146
122,7687-7688-11439,147
123,7684-7688-11439,151
124,7683-7688-11439,152
125,7688-7690-11439,153
126,7688-7693-11439,154
127,7688-7708-11439,155
128,7682-7688-11439,157
129,7688-7690-11438,161
130,7687-7688-11438,162
131,7684-7688-11438,163
132,7681-7688-11438,166
133,7685-7688-11438,167
134,7680-7688-11434,202
135,7684-7690-11436,210
136,7688-7690-11436,211
137,7680-7694-11438,214
138,7681-7695-11438,215
139,7681-7682-11438,217
140,7688-7690-11443,229
141,7688-7691-11438,170
142,7682-7684-11434,138
143,7688-7690-11437,177
144,7688-7694-11437,178
145,7684-7686-11436,179
146,7686-7688-11436,184
147,7686-7690-11436,185
148,7686-7692-11436,187
149,7688-7690-11434,194
150,7688-7693-11434,195
151,7684-7688-11434,196
152,7682-7688-11434,197
153,7681-7688-11434,198
154,7685-7688-11434,190
155,7686-7688-11434,191
156,7683-7688-11434,192
157,7688-7694-11434,205
158,7688-7692-11434,206
159,7688-9585-11434,207
160,7688-7749-11434,193
161,7688-8101-11434,199
162,7688-8103-11434,200
163,7688-7731-11434,201
164,7688-7732-11436,188
165,7688-7732-11434,189
166,7686-9598-11436,186
167,7686-7750-11436,180
