1,
2,#2
3,#3
4,#4
5,#5
6,1.d4
7,1.e4
8,150 Attack
10,"150 Attack, Sveshnikov-Jansa Attack"
11,2.b3
12,2.c3
13,"2.c3, Heidenfeld Variation"
14,2.g4
15,3.Nc3
16,3.Qb3
17,4.Bg5 Be7
19,"4.Bg5 Be7, 5.e3 O-O"
20,4.e3
21,4.e3 e8g8
22,"4.e3 e8g8, 5.Nf3, without ...d5"
23,"4.e3, Main Line, with 8...dxc4 and 9...cxd4"
24,"4.e3, Ragozin Variation"
25,Abbazia Defense
26,Accelerated Averbakh Variation
27,Accelerated Dragon
29,"Accelerated Dragon, Exchange Variation"
30,"Accelerated Dragon, Maroczy Bind"
31,"Accelerated Dragon, Maroczy Bind, Breyer Variation"
32,"Accelerated Dragon, Maroczy Bind, Gurgenidze Variation"
33,"Accelerated Dragon, Modern Bc4 Variation"
34,"Accelerated Dragon, Modern Variation"
35,Accelerated Fianchetto
36,"Accelerated Fianchetto, Maroczy Bind, 5...Bg7"
37,"Accelerated Fianchetto, Simagin Variation"
38,Accelerated Gurgenidze
39,Accelerated Mannheim Variation
40,Accelerated Meran Variation
41,Accelerated Move Order
42,Accelerated Panov Attack
44,Accelerated Panov Attack #2
45,"Accelerated Panov Attack, Modern Variation"
46,"Accelerated Panov Attack, Open Variation"
47,"Accelerated Panov Attack, Pseudo-Scandinavian"
48,Achilles-Omega Gambit
49,Acton Extension
50,Adler Variation
51,Adorjan Defense
52,Advance
53,Advance Variation
55,Advance Variation #2
56,Advance Variation #3
57,Advance Variation #4
58,"Advance Variation, Bayonet Attack"
59,"Advance Variation, Botvinnik-Carls Defense"
60,"Advance Variation, Bronstein Variation"
61,"Advance Variation, Euwe Variation"
62,"Advance Variation, Extended Bishop Swap"
63,"Advance Variation, Frenkel Gambit"
64,"Advance Variation, Lputian Variation"
65,"Advance Variation, Main Line"
66,"Advance Variation, Michel Gambit"
67,"Advance Variation, Milner-Barry Gambit"
68,"Advance Variation, Nimzowitsch Attack"
69,"Advance Variation, Nimzowitsch Gambit"
70,"Advance Variation, Nimzowitsch System"
71,"Advance Variation, Paulsen Attack"
72,"Advance Variation, Prins Attack"
73,"Advance Variation, Ruisdonk Gambit"
74,"Advance Variation, Short Variation"
75,"Advance Variation, Tal Variation"
76,"Advance Variation, Van der Wiel Attack"
77,"Advance Variation, Van der Wiel Attack #2"
78,"Advance Variation, Van der Wiel Attack, Dreyev Defense"
79,"Advance Variation, Wade Variation"
80,"Advance, Short Variation"
81,"Advance, Steinitz Variation"
82,Agincourt Defense
84,Agincourt Defense #2
85,Agincourt Defense #3
86,"Agincourt Defense, Bogoljubov Defense"
87,"Agincourt Defense, Catalan Defense"
88,"Agincourt Defense, Catalan Defense Accepted"
89,"Agincourt Defense, Catalan Defense, Semi-Slav Defense"
90,"Agincourt Defense, Keres Defense"
91,"Agincourt Defense, Kurajica Defense"
92,"Agincourt Defense, Neo-Catalan Declined"
93,"Agincourt Defense, Tarrasch Defense"
94,"Agincourt Defense, Wimpy System"
95,Alapin Defense
97,"Alapin Defense, Alapin Gambit"
98,Alapin Gambit
99,Alapin Opening
100,Alapin Variation
102,"Alapin Variation, Barmen Defense"
103,"Alapin Variation, Barmen Defense, Central Exchange"
104,"Alapin Variation, Barmen Defense, Endgame Variation"
105,"Alapin Variation, Barmen Defense, Milner-Barry Attack"
106,"Alapin Variation, Barmen Defense, Modern Line"
107,"Alapin Variation, Sherzer Variation"
108,"Alapin Variation, Smith-Morra Declined"
109,"Alapin Variation, Stoltz Attack"
